rp_entry_confirm_bars,rp_exit_confirm_bars,regime_ema_window,regime_min_slope,max_hold_bars,risk_per_trade,return_pct,annual_return,max_drawdown,calmar,net_pnl,closed_trades,total_trades,win_rate
2,3,60,0.002,60,0.003,0.35199703813465893,0.21180103172382592,0.16460152452738339,1.2867501217377264,35199.703813465894,14,28,0.42857142857142855
2,3,60,0.002,60,0.005,0.35199703813465893,0.21180103172382592,0.16460152452738339,1.2867501217377264,35199.703813465894,14,28,0.42857142857142855
2,3,60,0.003,60,0.003,0.3480114992451682,0.20952429146134,0.164601524527383,1.272918291996036,34801.14992451682,14,28,0.42857142857142855
2,3,60,0.003,60,0.005,0.3480114992451682,0.20952429146134,0.164601524527383,1.272918291996036,34801.14992451682,14,28,0.42857142857142855
4,4,60,0.001,60,0.003,0.4272314721714685,0.25433249113403966,0.20016021571141232,1.2706445695518835,42723.14721714685,11,22,0.5454545454545454
4,4,60,0.001,60,0.005,0.4272314721714685,0.25433249113403966,0.20016021571141232,1.2706445695518835,42723.14721714685,11,22,0.5454545454545454
4,3,60,0.002,40,0.003,0.29284083165863545,0.17775242873501407,0.14030015149311148,1.2669439543958114,29284.083165863543,13,26,0.46153846153846156
4,3,60,0.002,40,0.005,0.29284083165863545,0.17775242873501407,0.14030015149311148,1.2669439543958114,29284.083165863543,13,26,0.46153846153846156
4,4,30,0.002,60,0.003,0.5050892377866377,0.2974984376282255,0.23645467414575905,1.258162642388016,50508.92377866377,13,26,0.46153846153846156
4,4,30,0.002,60,0.005,0.5050892377866377,0.2974984376282255,0.23645467414575905,1.258162642388016,50508.92377866377,13,26,0.46153846153846156
3,4,60,0.002,40,0.003,0.44605284669562534,0.26484419934432224,0.2112249907023036,1.2538487915835135,44605.284669562534,11,22,0.5454545454545454
3,4,60,0.002,40,0.005,0.44605284669562534,0.26484419934432224,0.2112249907023036,1.2538487915835135,44605.284669562534,11,22,0.5454545454545454
3,4,60,0.001,20,0.003,0.44457169228430604,0.26401878461249284,0.21122499070230355,1.249941040284366,44457.169228430605,14,28,0.5
3,4,60,0.001,20,0.005,0.44457169228430604,0.26401878461249284,0.21122499070230355,1.249941040284366,44457.169228430605,14,28,0.5
3,4,30,0.002,20,0.003,0.4969668122803021,0.293033711755013,0.23645467414575866,1.2392806901096705,49696.68122803021,16,32,0.5
3,4,30,0.002,20,0.005,0.4969668122803021,0.293033711755013,0.23645467414575866,1.2392806901096705,49696.68122803021,16,32,0.5
4,4,60,0.002,40,0.003,0.4127079714258402,0.24618670661964726,0.20016021571141215,1.2299482479305246,41270.79714258402,11,22,0.5454545454545454
4,4,60,0.002,40,0.005,0.4127079714258402,0.24618670661964726,0.20016021571141215,1.2299482479305246,41270.79714258402,11,22,0.5454545454545454
4,3,60,0.001,60,0.003,0.31288415026753064,0.1893509228407091,0.15714085074479064,1.2049758031934688,31288.415026753064,13,26,0.46153846153846156
4,3,60,0.001,60,0.005,0.31288415026753064,0.1893509228407091,0.15714085074479064,1.2049758031934688,31288.415026753064,13,26,0.46153846153846156
2,4,60,0.001,20,0.003,0.4243792343213232,0.2527351418891066,0.21122499070230352,1.1965210226724863,42437.92343213232,15,30,0.4666666666666667
2,4,60,0.001,20,0.005,0.4243792343213232,0.2527351418891066,0.21122499070230352,1.1965210226724863,42437.92343213232,15,30,0.4666666666666667
3,4,60,0.003,40,0.003,0.44179004160492974,0.26246780120714375,0.21995434064845468,1.1932831170021638,44179.00416049297,11,22,0.5454545454545454
3,4,60,0.003,40,0.005,0.44179004160492974,0.26246780120714375,0.21995434064845468,1.1932831170021638,44179.00416049297,11,22,0.5454545454545454
3,4,60,0.002,20,0.003,0.41481603074787476,0.24737093163122337,0.21122499070230344,1.1711253048644388,41481.603074787476,13,26,0.5384615384615384
